       t     Original        Noisy      AmpFilt     FreqFilt
  0.0000       1.0000       1.1938       1.0046       1.0427
  0.0010       0.9995       1.1627       1.0038       1.0468
  0.0020       0.9981       1.0955       1.0021       1.0463
  0.0029       0.9958       1.1204       0.9994       1.0411
  0.0039       0.9925       1.0880       0.9957       1.0314
  0.0049       0.9883       0.8076       0.9912       1.0176
  0.0059       0.9831       0.7899       0.9857       1.0004
  0.0068       0.9770       0.8368       0.9792       0.9805
  0.0078       0.9700       0.8479       0.9719       0.9589
  0.0088       0.9621       1.0142       0.9636       0.9364
  0.0098       0.9533       1.1172       0.9545       0.9140
  0.0107       0.9436       0.9417       0.9444       0.8924
  0.0117       0.9330       0.8086       0.9334       0.8726
  0.0127       0.9215       0.9059       0.9216       0.8548
  0.0137       0.9092       0.7406       0.9089       0.8396
  0.0146       0.8960       1.0345       0.8953       0.8270
  0.0156       0.8819       0.9085       0.8809       0.8168
  0.0166       0.8670       0.7692       0.8657       0.8087
  0.0176       0.8514       0.6541       0.8496       0.8022
  0.0186       0.8349       1.0112       0.8328       0.7968
  0.0195       0.8176       0.6816       0.8152       0.7915
  0.0205       0.7995       0.6093       0.7968       0.7857
  0.0215       0.7807       0.8925       0.7776       0.7787
  0.0225       0.7612       0.5621       0.7577       0.7698
  0.0234       0.7410       0.8428       0.7371       0.7585
  0.0244       0.7200       0.7751       0.7159       0.7444
  0.0254       0.6984       0.7724       0.6939       0.7274
  0.0264       0.6761       0.8359       0.6713       0.7074
  0.0273       0.6532       0.6616       0.6480       0.6846
  0.0283       0.6296       0.4858       0.6242       0.6593
  0.0293       0.6055       0.6439       0.5997       0.6320
  0.0303       0.5808       0.7218       0.5747       0.6031
  0.0313       0.5556       0.6589       0.5492       0.5732
  0.0322       0.5298       0.3587       0.5231       0.5428
  0.0332       0.5035       0.5402       0.4966       0.5123
  0.0342       0.4768       0.3142       0.4695       0.4821
  0.0352       0.4496       0.6166       0.4421       0.4524
  0.0361       0.4220       0.3041       0.4142       0.4233
  0.0371       0.3940       0.3568       0.3859       0.3947
  0.0381       0.3656       0.4845       0.3573       0.3665
  0.0391       0.3369       0.5096       0.3283       0.3385
  0.0400       0.3078       0.4632       0.2990       0.3102
  0.0410       0.2785       0.2757       0.2695       0.2813
  0.0420       0.2489       0.1260       0.2397       0.2515
  0.0430       0.2191       0.3220       0.2096       0.2204
  0.0439       0.1891       0.0345       0.1794       0.1879
  0.0449       0.1589       0.0326       0.1490       0.1537
  0.0459       0.1285       0.0821       0.1184       0.1179
  0.0469       0.0980      -0.0367       0.0878       0.0807
  0.0479       0.0674       0.0587       0.0570       0.0423
  0.0488       0.0368       0.1169       0.0262       0.0032
  0.0498       0.0061      -0.1319      -0.0046      -0.0363
  0.0508      -0.0245      -0.2201      -0.0354      -0.0755
  0.0518      -0.0552      -0.0366      -0.0662      -0.1139
  0.0527      -0.0858       0.0435      -0.0969      -0.1510
  0.0537      -0.1163       0.0677      -0.1275      -0.1865
  0.0547      -0.1467      -0.2954      -0.1580      -0.2199
  0.0557      -0.1770      -0.0805      -0.1884      -0.2510
  0.0566      -0.2071      -0.3843      -0.2186      -0.2797
  0.0576      -0.2370      -0.3966      -0.2486      -0.3062
  0.0586      -0.2667      -0.3214      -0.2783      -0.3306
  0.0596      -0.2962      -0.4491      -0.3078      -0.3533
  0.0605      -0.3253      -0.2740      -0.3370      -0.3747
  0.0615      -0.3542      -0.5324      -0.3658      -0.3952
  0.0625      -0.3827      -0.5690      -0.3944      -0.4153
  0.0635      -0.4108      -0.5879      -0.4225      -0.4356
  0.0645      -0.4386      -0.3439      -0.4503      -0.4564
  0.0654      -0.4660      -0.6192      -0.4776      -0.4780
  0.0664      -0.4929      -0.3452      -0.5045      -0.5007
  0.0674      -0.5194      -0.3253      -0.5309      -0.5246
  0.0684      -0.5453      -0.3737      -0.5568      -0.5496
  0.0693      -0.5708      -0.6263      -0.5822      -0.5755
  0.0703      -0.5957      -0.4564      -0.6071      -0.6022
  0.0713      -0.6201      -0.7362      -0.6313      -0.6293
  0.0723      -0.6438      -0.8402      -0.6550      -0.6564
  0.0732      -0.6670      -0.7583      -0.6781      -0.6830
  0.0742      -0.6895      -0.6770      -0.7005      -0.7089
  0.0752      -0.7114      -0.6767      -0.7223      -0.7337
  0.0762      -0.7327      -0.8346      -0.7433      -0.7571
  0.0771      -0.7532      -0.6967      -0.7637      -0.7790
  0.0781      -0.7730      -0.7916      -0.7834      -0.7992
  0.0791      -0.7921      -0.8717      -0.8023      -0.8180
  0.0801      -0.8105      -0.7160      -0.8205      -0.8352
  0.0811      -0.8280      -1.0109      -0.8379      -0.8513
  0.0820      -0.8449      -0.8688      -0.8545      -0.8663
  0.0830      -0.8609      -0.8844      -0.8703      -0.8807
  0.0840      -0.8761      -0.7395      -0.8853      -0.8946
  0.0850      -0.8904      -1.0056      -0.8994      -0.9083
  0.0859      -0.9040      -1.0044      -0.9128      -0.9219
  0.0869      -0.9167      -0.8640      -0.9252      -0.9356
  0.0879      -0.9285      -0.7424      -0.9368      -0.9494
  0.0889      -0.9395      -1.0691      -0.9475      -0.9631
  0.0898      -0.9495      -1.0902      -0.9573      -0.9767
  0.0908      -0.9587      -1.0362      -0.9662      -0.9897
  0.0918      -0.9670      -0.9934      -0.9742      -1.0021
  0.0928      -0.9743      -0.8487      -0.9812      -1.0134
  0.0938      -0.9808      -1.0768      -0.9874      -1.0233
  0.0947      -0.9863      -1.0109      -0.9926      -1.0315
  0.0957      -0.9909      -1.1275      -0.9969      -1.0378
  0.0967      -0.9946      -0.9147      -1.0003      -1.0420
  0.0977      -0.9973      -1.0466      -1.0027      -1.0440
  0.0986      -0.9991      -1.1721      -1.0041      -1.0437
  0.0996      -0.9999      -0.9940      -1.0047      -1.0414
  0.1006      -0.9998      -1.1286      -1.0042      -1.0372
  0.1016      -0.9988      -0.9792      -1.0029      -1.0313
  0.1025      -0.9968      -1.0612      -1.0006      -1.0240
  0.1035      -0.9939      -1.0712      -0.9973      -1.0156
  0.1045      -0.9901      -0.8695      -0.9931      -1.0065
  0.1055      -0.9853      -0.9704      -0.9880      -0.9970
  0.1064      -0.9796      -0.9590      -0.9819      -0.9873
  0.1074      -0.9729      -1.0015      -0.9749      -0.9775
  0.1084      -0.9654      -0.9488      -0.9670      -0.9679
  0.1094      -0.9569      -0.9584      -0.9582      -0.9585
  0.1104      -0.9476      -0.9813      -0.9485      -0.9492
  0.1113      -0.9373      -0.8783      -0.9379      -0.9400
  0.1123      -0.9262      -1.1013      -0.9264      -0.9307
  0.1133      -0.9142      -0.9617      -0.9141      -0.9211
  0.1143      -0.9013      -0.8672      -0.9008      -0.9111
  0.1152      -0.8876      -0.8420      -0.8868      -0.9005
  0.1162      -0.8731      -0.8359      -0.8719      -0.8892
  0.1172      -0.8577      -0.9713      -0.8562      -0.8770
  0.1182      -0.8416      -0.8317      -0.8396      -0.8639
