-3 -0,999978632326396 -0,99997791
-2,95 -0,999970562743199 -0,9999394238
-2,9 -0,999959644723288 -0,9999009376
-2,85 -0,99994494876568 -0,9998624514
-2,8 -0,99992526941427 -0,9998239652
-2,75 -0,99989905259094 -0,999785479
-2,7 -0,999864306726765 -0,9997469928
-2,65 -0,999818494949444 -0,9997085066
-2,6 -0,999758405368091 -0,9996700204
-2,55 -0,99967999633683 -0,9996315342
-2,5 -0,999578213503831 -0,999593048
-2,45 -0,999446775494725 -0,999452267
-2,4 -0,99927792527529 -0,999311486
-2,35 -0,999062144627574 -0,9990841545
-2,3 -0,9987878297982 -0,998856823
-2,25 -0,998440927279224 -0,9984969885
-2,2 -0,998004529900172 -0,998137154
-2,15 -0,997458434978691 -0,9975788435
-2,1 -0,99677866822126 -0,997020533
-2,05 -0,99593697939588 -0,996171399
-2 -0,994900318508938 -0,995322265
-1,95 -0,993630304279114 -0,994056347
-1,9 -0,99208270005609 -0,992790429
-1,85 -0,991156269905558 -0,9909404655
-1,8 -0,989154184273649 -0,989090502
-1,75 -0,98675925236378 -0,9864404805
-1,7 -0,983908575962058 -0,983790459
-1,65 -0,980532211275365 -0,980069421
-1,6 -0,976552972126066 -0,976348383
-1,55 -0,971886349033773 -0,9712267645
-1,5 -0,966440566449617 -0,966105146
-1,45 -0,96011679980816 -0,959195133
-1,4 -0,952809572542964 -0,95228512
-1,35 -0,944407350683206 -0,943146532500001
-1,3 -0,934793349053339 -0,934007945000001
-1,25 -0,92339553985693 -0,922160961500001
-1,2 -0,910917133763267 -0,910313978000001
-1,15 -0,89685236541948 -0,895259524000001
-1,1 -0,881077828610322 -0,880205070000001
-1,05 -0,863472792677362 -0,861452931500001
-1 -0,84392129223998 -0,842700793000001
-0,950000000000003 -0,82091022487219 -0,819804502500001
-0,900000000000003 -0,796890924831622 -0,796908212000001
-0,850000000000003 -0,770651969131296 -0,769504588500001
-0,800000000000002 -0,742086639853772 -0,742100965000001
-0,750000000000002 -0,711143395668306 -0,709951079500002
-0,700000000000002 -0,677791154283861 -0,677801194000002
-0,650000000000002 -0,642021425186201 -0,640828642500002
-0,600000000000002 -0,60385013670725 -0,603856091000002
-0,550000000000002 -0,563319087871058 -0,562177984500002
-0,500000000000002 -0,520450833623747 -0,520499878000002
-0,450000000000002 -0,47545052697724 -0,474446116500002
-0,400000000000002 -0,428373893997502 -0,428392355000002
-0,350000000000002 -0,379372045971624 -0,378509557000002
-0,300000000000002 -0,328621906874906 -0,328626759000002
-0,250000000000002 -0,276324362474153 -0,275664674000002
-0,200000000000002 -0,2227019035483 -0,222702589000002
-0,150000000000002 -0,167995804733046 -0,167582752500003
-0,100000000000002 -0,112462893687393 -0,112462916000003
-0,0500000000000023 -0,0563719770920063 -0,0563663500000026
-2,28983498828939E-15 -2,58380209687214E-15 -2,583457666544E-15
0,0499999999999977 0,0563719770920012 0,0563663499999974
0,0999999999999977 0,112462893687388 0,112462915999997
0,149999999999998 0,167995804733041 0,167582752499997
0,199999999999998 0,222701903548295 0,222702588999997
0,249999999999998 0,276324362474148 0,275664673999998
0,299999999999998 0,328621906874901 0,328626758999998
0,349999999999998 0,37937204597162 0,378509556999998
0,399999999999998 0,428373893997498 0,428392354999998
0,449999999999998 0,475450526977235 0,474446116499998
0,499999999999998 0,520450833623743 0,520499877999998
0,549999999999998 0,563319087871055 0,562177984499998
0,599999999999998 0,603850136707246 0,603856090999998
0,649999999999998 0,642021425186198 0,640828642499998
0,699999999999998 0,677791154283858 0,677801193999998
0,749999999999998 0,711143395668303 0,709951079499999
0,799999999999998 0,742086639853769 0,742100964999999
0,849999999999998 0,770651969131294 0,769504588499999
0,899999999999998 0,796890924831619 0,796908211999999
0,949999999999998 0,820910224872188 0,819804502499999
0,999999999999998 0,842729958487198 0,842700792999999
1,05 0,863472792677361 0,861452931499999
1,1 0,88107782861032 0,880205069999999
1,15 0,896852365419479 0,895259523999999
1,2 0,910917133763266 0,910313977999999
1,25 0,923395539856929 0,922160961499999
1,3 0,934793349053338 0,934007945
1,35 0,944407350683205 0,9431465325
1,4 0,952809572542964 0,95228512
1,45 0,96011679980816 0,959195133
1,5 0,966440566449616 0,966105146
1,55 0,971886349033772 0,9712267645
1,6 0,976552972126066 0,976348383
1,65 0,980532211275365 0,980069421
1,7 0,983908575962058 0,983790459
1,75 0,98675925236378 0,9864404805
1,8 0,989154184273649 0,989090502
1,85 0,991156269905558 0,9909404655
1,9 0,99208270005609 0,992790429
1,95 0,993630304279114 0,994056347
2 0,994900318508938 0,995322265
2,05 0,99593697939588 0,996171399
2,1 0,99677866822126 0,997020533
2,15 0,997458434978691 0,9975788435
2,2 0,998004529900172 0,998137154
2,25 0,998440927279224 0,9984969885
2,3 0,9987878297982 0,998856823
2,35 0,999062144627574 0,9990841545
2,4 0,99927792527529 0,999311486
2,45 0,999446775494725 0,999452267
2,5 0,999578213503831 0,999593048
2,55 0,99967999633683 0,9996315342
2,6 0,999758405368091 0,9996700204
2,65 0,999818494949444 0,9997085066
2,7 0,999864306726765 0,9997469928
2,75 0,99989905259094 0,999785479
2,8 0,99992526941427 0,9998239652
2,85 0,99994494876568 0,9998624514
2,9 0,999959644723288 0,9999009376
2,95 0,999970562743199 0,9999394238
3 0,999978632326396 0,99997791
