-1 2,95626192293302
-0,983333333333333 2,86566895009999
-0,966666666666667 2,77569314686661
-0,95 2,68641400519885
-0,933333333333333 2,5979080996867
-0,916666666666666 2,5102490338013
-0,9 2,42350739534662
-0,883333333333333 2,33775072106387
-0,866666666666666 2,25304347031927
-0,85 2,16944700777854
-0,833333333333333 2,08701959494499
-0,816666666666666 2,00581639041239
-0,799999999999999 1,92588945865851
-0,783333333333333 1,84728778718129
-0,766666666666666 1,77005731175616
-0,749999999999999 1,69424094957081
-0,733333333333333 1,61987863997239
-0,716666666666666 1,54700739254197
-0,699999999999999 1,47566134219223
-0,683333333333332 1,40587181096618
-0,666666666666666 1,3376673761985
-0,649999999999999 1,27107394468556
-0,633333333333332 1,20611483249615
-0,616666666666665 1,14281085004238
-0,599999999999999 1,08118039201879
-0,583333333333332 1,0212395318078
-0,566666666666665 0,963002119940981
-0,549999999999999 0,906479886198517
-0,533333333333332 0,85168254492339
-0,516666666666665 0,798617903122466
-0,499999999999999 0,747291970923572
-0,483333333333332 0,697709073956156
-0,466666666666665 0,649871967222705
-0,449999999999999 0,603781950029343
-0,433333333333332 0,559438981546307
-0,416666666666665 0,516841796572829
-0,399999999999999 0,475988021085841
-0,383333333333332 0,436874287158239
-0,366666666666665 0,39949634683979
-0,349999999999999 0,363849184602432
-0,333333333333332 0,329927127961357
-0,316666666666665 0,297723955894169
-0,299999999999999 0,267233004692109
-0,283333333333332 0,238447270890274
-0,266666666666665 0,211359510937387
-0,249999999999999 0,185962337280386
-0,233333333333332 0,162248310554475
-0,216666666666665 0,140210027585532
-0,199999999999999 0,119840204928668
-0,183333333333332 0,101131757684288
-0,166666666666665 0,0840778733512186
-0,149999999999999 0,0686720804950898
-0,133333333333332 0,0549083120293903
-0,116666666666665 0,0427809629261446
-0,0999999999999986 0,0322849421931131
-0,0833333333333319 0,02341571897463
-0,0666666666666653 0,016169362653629
-0,0499999999999986 0,0105425768530258
-0,0333333333333319 0,00653272725535636
-0,0166666666666653 0,00413786318033615
1,39471767468535E-15 0,00335673288076999
0,0166666666666681 0,00418879253795801
0,0333333333333347 0,00663420895829292
0,0500000000000014 0,0106938559932068
0,0666666666666681 0,016369304724714
0,0833333333333347 0,0236628074787881
0,100000000000001 0,0325772757483098
0,116666666666668 0,0431162521265165
0,133333333333335 0,055283876370658
0,150000000000001 0,0690848457338453
0,166666666666668 0,0845243697207931
0,183333333333335 0,101608119440442
0,200000000000001 0,12034217174498
0,216666666666668 0,140732948360796
0,233333333333335 0,162787150232169
0,250000000000001 0,186511687313093
0,266666666666668 0,211913604056488
0,283333333333335 0,239000000863139
0,300000000000001 0,267777951764943
0,316666666666668 0,298254418628576
0,333333333333335 0,330436162176238
0,350000000000001 0,364329650129954
0,366666666666668 0,399940962794698
0,383333333333335 0,437275696403649
0,400000000000001 0,476338864555871
0,416666666666668 0,517134798082869
0,433333333333335 0,559667043685628
0,450000000000001 0,603938261687985
0,466666666666668 0,649950123255484
0,483333333333335 0,697703207431113
0,500000000000001 0,747196898340791
0,516666666666668 0,798429282921814
0,533333333333335 0,851397049526906
0,550000000000001 0,906095387755086
0,566666666666668 0,962517889858074
0,583333333333335 1,02065645406758
0,600000000000002 1,08050119018456
0,616666666666668 1,14204032776628
0,633333333333335 1,20526012724088
0,650000000000002 1,27014479427232
0,666666666666669 1,33667639769043
0,683333333333335 1,40483479129248
0,700000000000002 1,47459753981283
0,716666666666669 1,54593984934717
0,733333333333335 1,61883450250666
0,750000000000002 1,69325179856557
0,766666666666669 1,76915949885333
0,783333333333336 1,84652277762893
0,800000000000002 1,92530417866163
0,816666666666669 2,00546357772747
0,833333333333336 2,08695815121604
0,850000000000002 2,16974235102646
0,866666666666669 2,25376788591539
0,883333333333336 2,33898370944327
0,900000000000003 2,42533601464813
0,916666666666669 2,51276823555884
0,933333333333336 2,60122105564211
0,950000000000003 2,69063242325939
0,966666666666669 2,78093757419168
0,983333333333336 2,87206906127176
