-1 -0,00703838345696565
-0,983333333333333 -0,00882032799154298
-0,966666666666667 -0,0109980437160497
-0,95 -0,013644534128958
-0,933333333333333 -0,0168425494566759
-0,916666666666666 -0,0206850069034114
-0,9 -0,0252752028395182
-0,883333333333333 -0,0307267553405267
-0,866666666666666 -0,0371632109376221
-0,85 -0,0447172468237071
-0,833333333333333 -0,053529399696041
-0,816666666666666 -0,0637462555330922
-0,799999999999999 -0,0755180414968724
-0,783333333333333 -0,0889955723468031
-0,766666666666666 -0,104326519649172
-0,749999999999999 -0,121650992894972
-0,733333333333333 -0,141096447398895
-0,716666666666666 -0,162771964268035
-0,699999999999999 -0,186761982207987
-0,683333333333332 -0,213119598538397
-0,666666666666666 -0,241859596223899
-0,649999999999999 -0,272951393346236
-0,633333333333332 -0,306312149291183
-0,616666666666665 -0,341800295788471
-0,599999999999999 -0,379209788447443
-0,583333333333332 -0,418265393147345
-0,566666666666665 -0,458619329225946
-0,549999999999999 -0,49984958575835
-0,533333333333332 -0,541460206624592
-0,516666666666665 -0,582883803385181
-0,499999999999999 -0,623486501782272
-0,483333333333332 -0,662575458356484
-0,466666666666665 -0,699408999530215
-0,449999999999999 -0,733209338830626
-0,433333333333332 -0,763177721924184
-0,416666666666665 -0,788511737888059
-0,399999999999999 -0,808424423452461
-0,383333333333332 -0,822164680132473
-0,366666666666665 -0,829038427813665
-0,349999999999999 -0,828429838018287
-0,333333333333332 -0,819821930964803
-0,316666666666665 -0,802815787179509
-0,299999999999999 -0,777147620388338
-0,283333333333332 -0,742702986039277
-0,266666666666665 -0,699527459978267
-0,249999999999999 -0,647833213870518
-0,233333333333332 -0,588001035693389
-0,216666666666665 -0,520577491285394
-0,199999999999999 -0,446267091427916
-0,183333333333332 -0,36591951205983
-0,166666666666665 -0,280512105962673
-0,149999999999999 -0,191128135098087
-0,133333333333332 -0,0989313360593728
-0,116666666666665 -0,00513759927797032
-0,0999999999999986 0,0890153114569839
-0,0833333333333319 0,182298955560976
-0,0666666666666653 0,273525202466283
-0,0499999999999986 0,361575840679359
-0,0333333333333319 0,445429643443167
-0,0166666666666653 0,524185775932202
1,39471767468535E-15 0,59708253038762
0,0166666666666681 0,663510529470627
0,0333333333333347 0,723019744196618
0,0500000000000014 0,775319928689707
0,0666666666666681 0,820274374297618
0,0833333333333347 0,857887221279787
0,100000000000001 0,888284923972203
0,116666666666668 0,911692827043563
0,133333333333335 0,928408153685013
0,150000000000001 0,938771005092573
0,166666666666668 0,943135196004145
0,183333333333335 0,94184087509741
0,200000000000001 0,935190876675116
0,216666666666668 0,923432602826253
0,233333333333335 0,906746934855928
0,250000000000001 0,885245224111167
0,266666666666668 0,858974835530532
0,283333333333335 0,827933048251225
0,300000000000001 0,792088406820666
0,316666666666668 0,75140792544006
0,333333333333335 0,70588794336696
0,350000000000001 0,655585978067792
0,366666666666668 0,600650680968957
0,383333333333335 0,541347009245489
0,400000000000001 0,478074003677702
0,416666666666668 0,411373097814743
0,433333333333335 0,341925639888627
0,450000000000001 0,27053922251406
0,466666666666668 0,198123402249662
0,483333333333335 0,125656355867225
0,500000000000001 0,0541448656512376
0,516666666666668 -0,015419335011182
0,533333333333335 -0,0821034592826864
0,550000000000001 -0,145074358915234
0,566666666666668 -0,203632828495959
0,583333333333335 -0,257238898084069
0,600000000000002 -0,305526282801813
0,616666666666668 -0,348305103268005
0,633333333333335 -0,385552994157181
0,650000000000002 -0,417395681869857
0,666666666666669 -0,444078946505152
0,683333333333335 -0,465934515568919
0,700000000000002 -0,483342818819777
0,716666666666669 -0,496695644774811
0,733333333333335 -0,506361586944458
0,750000000000002 -0,512656783921574
0,766666666666669 -0,515822893332704
0,783333333333336 -0,516013558796561
0,800000000000002 -0,513289899287621
0,816666666666669 -0,507624836746823
0,833333333333336 -0,498915436727426
0,850000000000002 -0,487001911652084
0,866666666666669 -0,471691555041055
0,883333333333336 -0,452785650523453
0,900000000000003 -0,430107330076439
0,916666666666669 -0,40352842859024
0,933333333333336 -0,372993574833017
0,950000000000003 -0,338540045256278
0,966666666666669 -0,300312257732548
0,983333333333336 -0,258570168520372
