-1 0,367879441171442 0,357486778832213
-0,937712793497261 0,415135067043103 0,407242506819063
-0,882540833921446 0,459053243533981 0,452458282874632
-0,833080188162155 0,499763230781975 0,493781182223626
-0,785534891432798 0,539800451403178 0,53405619655316
-0,742690376443391 0,576375922465677 0,570660097032482
-0,701253201302388 0,611962658137876 0,606180925491415
-0,661329037259514 0,646221279181245 0,640348655050913
-0,622834247783719 0,679012126620592 0,673069882067728
-0,585595879719788 0,710305891707839 0,704343178164958
-0,549408568536053 0,740125257738745 0,734206046936623
-0,514063347155674 0,76851040070832 0,762704638638846
-0,479359976352962 0,795500117451113 0,789877801846174
-0,445110281906534 0,821122183412555 0,815749347222701
-0,411136847430065 0,845388669198988 0,84032457116162
-0,377269398237121 0,868293564152762 0,863588632828404
-0,343340021212105 0,889811094228231 0,885505334244516
-0,309177696889411 0,909893708420219 0,906015376413822
-0,274602270096156 0,928468978506381 0,925033392276615
-0,23941785888978 0,945434706754561 0,942443080508918
-0,203405820786484 0,960651429809274 0,958089643409583
-0,166317971323556 0,973931322887945 0,971768546883858
-0,127872381193706 0,985022472569539 0,983209607445889
-0,0877581619107804 0,99358836383083 0,992056368163021
-0,0456647368061306 0,999186559566521 0,997845073057333
-0,00136640508219077 1,00126360310892 1,00000107645224
0,0451020807304217 0,999211249954555 0,997899240471982
0,0932177663231467 0,992547691778726 0,991052869162871
0,141918415652048 0,981194195604693 0,979398007144764
0,189937768483063 0,965616121993862 0,963433729567769
0,236283219551308 0,946654631600246 0,944042896863551
0,278220122421059 0,92637778569997 0,923349728316142
0,318823054420761 0,904118899535548 0,90068730586207
0,35795030763846 0,880420037405413 0,876616536351554
0,395679732427146 0,855668206098959 0,851535856256329
0,432194445219788 0,830119871606141 0,825707599426003
0,467714502564606 0,803937534388334 0,79929628655338
0,502461708336935 0,77722184874946 0,772401936320524
0,536644469637156 0,750035003092832 0,745084135231405
0,570453524595859 0,722416134450361 0,717377771521363
0,604063067503124 0,694390850857257 0,689302629087101
0,63763431955401 0,665976797721671 0,660868859371151
0,671320099329393 0,637186703772726 0,632079809764735
0,705269791202292 0,608029864994088 0,602933179623177
0,739634575698209 0,578512666687986 0,57342109275777
0,77457305692008 0,548638500543031 0,543529409851434
0,810257610033563 0,518407278418451 0,513236423586104
0,846881945722793 0,487814654664335 0,482510954277478
0,884670593817198 0,456851036346782 0,451309777969878
0,923891267771255 0,42550050618474 0,419574279561504
0,964871347662919 0,39373999064844 0,387226295727587
1 0,36742860422008 0,360227239579196
