-1 -1,00010119779844
-0,983333333333333 -0,950919493953973
-0,966666666666667 -0,903361429824678
-0,95 -0,85740674458244
-0,933333333333333 -0,813033448054236
-0,916666666666666 -0,770218036575141
-0,9 -0,728935700133063
-0,883333333333333 -0,689160519283965
-0,866666666666666 -0,650865650519353
-0,85 -0,614023498981067
-0,833333333333333 -0,57860587763797
-0,816666666666666 -0,544584152261538
-0,799999999999999 -0,511929371759027
-0,783333333333333 -0,48061238364034
-0,766666666666666 -0,450603934604814
-0,749999999999999 -0,42187475643366
-0,733333333333333 -0,39439563756028
-0,716666666666666 -0,368137480861397
-0,699999999999999 -0,343071348365202
-0,683333333333332 -0,319168493706511
-0,666666666666666 -0,296400383272284
-0,649999999999999 -0,274738707072797
-0,633333333333332 -0,254155380443805
-0,616666666666665 -0,234622537733311
-0,599999999999999 -0,216112519153312
-0,583333333333332 -0,198597851982817
-0,566666666666665 -0,182051227294747
-0,549999999999999 -0,166445473347176
-0,533333333333332 -0,151753526730537
-0,516666666666665 -0,137948402298639
-0,499999999999999 -0,125003162834648
-0,483333333333332 -0,112890889315677
-0,466666666666665 -0,10158465254355
-0,449999999999999 -0,0910574868068175
-0,433333333333332 -0,0812823661325125
-0,416666666666665 -0,0722321835774615
-0,399999999999999 -0,0638797339004811
-0,383333333333332 -0,0561976998502058
-0,366666666666665 -0,049158642200575
-0,349999999999999 -0,0427349935686532
-0,333333333333332 -0,0368990559589146
-0,316666666666665 -0,0316230018955286
-0,299999999999999 -0,0268788789306085
-0,283333333333332 -0,0226386172523554
-0,266666666666665 -0,0188740400633518
-0,249999999999999 -0,0155568763558829
-0,233333333333332 -0,0126587756784413
-0,216666666666665 -0,010151324465234
-0,199999999999999 -0,0080060634882515
-0,183333333333332 -0,00619450598888194
-0,166666666666665 -0,00468815605248341
-0,149999999999999 -0,00345852680404812
-0,133333333333332 -0,00247715802526249
-0,116666666666665 -0,00171563282202625
-0,0999999999999986 -0,00114559300579464
-0,0833333333333319 -0,000738752891071837
-0,0666666666666653 -0,000466911253881763
-0,0499999999999986 -0,000301961241255588
-0,0333333333333319 -0,000215898068524512
-0,0166666666666653 -0,00018082438883793
1,39471767468535E-15 -0,000168953266694416
0,0166666666666681 -0,000152608733833937
0,0333333333333347 -0,000104223950721627
0,0500000000000014 3,66296050202664E-06
0,0666666666666681 0,000198415305945332
0,0833333333333347 0,000507306290508325
0,100000000000001 0,00095752939388527
0,116666666666668 0,00157621044782985
0,133333333333335 0,00239042118557542
0,150000000000001 0,00342719401358815
0,166666666666668 0,00471353773933858
0,183333333333335 0,00627645397649568
0,200000000000001 0,00814295394081599
0,216666666666668 0,0103400753457561
0,233333333333335 0,0128948991063527
0,250000000000001 0,0158345655630048
0,266666666666668 0,0191862899430433
0,283333333333335 0,0229773767872108
0,300000000000001 0,0272352330800643
0,316666666666668 0,0319873798374393
0,333333333333335 0,0372614619203406
0,350000000000001 0,0430852558624237
0,366666666666668 0,0494866755174148
0,383333333333335 0,0564937753530499
0,400000000000001 0,0641347512391217
0,416666666666668 0,0724379385986476
0,433333333333335 0,0814318078129115
0,450000000000001 0,0911449567928262
0,466666666666668 0,101606100650535
0,483333333333335 0,112844058426328
0,500000000000001 0,124887736846438
0,516666666666668 0,137766111107194
0,533333333333335 0,15150820270003
0,550000000000001 0,166143054310004
0,566666666666668 0,181699701837655
0,583333333333335 0,198207143610139
0,600000000000002 0,215694306862647
0,616666666666668 0,234190011585067
0,633333333333335 0,253722931841654
0,650000000000002 0,274321554683239
0,666666666666669 0,296014136782076
0,683333333333335 0,318828658929009
0,700000000000002 0,342792778541086
0,716666666666669 0,367933780335234
0,733333333333335 0,394278525330065
0,750000000000002 0,421853398343406
0,766666666666669 0,450684254157825
0,783333333333336 0,480796362530119
0,800000000000002 0,512214352223792
0,816666666666669 0,544962154245659
0,833333333333336 0,579062944469281
0,850000000000002 0,614539085828665
0,866666666666669 0,651412070265897
0,883333333333336 0,689702460615935
0,900000000000003 0,729429832610775
0,916666666666669 0,770612717183798
0,933333333333336 0,813268543253038
0,950000000000003 0,857413581159729
0,966666666666669 0,903062886935614
0,983333333333336 0,950230247569285
